study_id	site_id	subject_id	sample_id	PLATFORM	TISSUETYPE	ATTR1	ATTR2	category_cd
TCGA_Colorectal_190712		TCGA-AA-A004	TCGA-AA-A004-01A-01R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A00N	TCGA-AA-A00N-01A-02R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A00O	TCGA-AA-A00O-01A-02R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A010	TCGA-AA-A010-01A-01R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A017	TCGA-AA-A017-01A-01R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A01C	TCGA-AA-A01C-01A-01R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A01D	TCGA-AA-A01D-01A-01R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A01I	TCGA-AA-A01I-01A-02R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A01K	TCGA-AA-A01K-01A-01R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A024	TCGA-AA-A024-01A-02R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A029	TCGA-AA-A029-01A-01R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A02E	TCGA-AA-A02E-01A-01R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A02F	TCGA-AA-A02F-01A-01R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A02H	TCGA-AA-A02H-01A-01R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A02J	TCGA-AA-A02J-01A-01R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A02R	TCGA-AA-A02R-01A-01R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-A02W	TCGA-AA-A02W-01A-01R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-A00H	TCGA-AG-A00H-01A-01R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-A01J	TCGA-AG-A01J-01A-01R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-A01N	TCGA-AG-A01N-01A-01R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-A023	TCGA-AG-A023-01A-01R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-A025	TCGA-AG-A025-01A-01R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-A02G	TCGA-AG-A02G-01A-01R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-A02X	TCGA-AG-A02X-01A-01R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AG-A032	TCGA-AG-A032-01A-01R-A00A-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3664	TCGA-AA-3664-01A-01R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3666	TCGA-AA-3666-01A-02R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3667	TCGA-AA-3667-01A-01R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3672	TCGA-AA-3672-01A-01R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3673	TCGA-AA-3673-01A-01R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3678	TCGA-AA-3678-01A-01R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3679	TCGA-AA-3679-01A-02R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3680	TCGA-AA-3680-01A-01R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3681	TCGA-AA-3681-01A-01R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3684	TCGA-AA-3684-01A-02R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3685	TCGA-AA-3685-01A-02R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3688	TCGA-AA-3688-01A-01R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3692	TCGA-AA-3692-01A-01R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3693	TCGA-AA-3693-01A-01R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3695	TCGA-AA-3695-01A-01R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3696	TCGA-AA-3696-01A-01R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3715	TCGA-AA-3715-01A-01R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3812	TCGA-AA-3812-01A-01R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3814	TCGA-AA-3814-01A-01R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3818	TCGA-AA-3818-01A-01R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3819	TCGA-AA-3819-01A-01R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3831	TCGA-AA-3831-01A-01R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3833	TCGA-AA-3833-01A-01R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
TCGA_Colorectal_190712		TCGA-AA-3837	TCGA-AA-3837-01A-01R-0905-07	Agi_UNC_244	Colorectal			Biomarker_Data+Gene_Expression+PLATFORM+TISSUETYPE
